,id
0,19074079
1,19153375
2,19874908
3,17752469
4,19229686
5,1344454
6,19092469
7,19386730
8,19306813
9,19108483
10,19132273
11,19249492
12,19468402
13,17804114
14,21060230
15,19802275
16,19232359
17,19246183
18,19476511
19,19103938
20,1914000
21,19724044
22,18993916
23,19237858
24,20535329
25,19073335
26,19114750
27,19322800
28,19160302
29,19870036
30,19893115
31,18043838
32,19150996
33,20362381
34,19378126
35,19067029
36,18949555
37,20480360
38,19190599
39,19136509
