,title,author,tags,summary,words,chapters,comment,kudos,bookmarks,hits
0,In the (Second) Beginning,cherryfeather,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","As their lunch stretches on Aziraphale slowly comes to realize that Crowley is—enjoying him. Enjoying Aziraphale’s conversation, and company, far more openly than he has in most of Aziraphale’s memory. And Aziraphale knows that he himself is just chattering on, letting conversational tangents carry him along, and—it’s definitely relief, for him, knowing for the first time in a long time that they aren’t being watched, that no one is keeping score for now.-Aziraphale realizes that Crowley's been saying something rather loudly for a week.",2661.0,1,564,25400,3996,151556
1,A Home at the Beginning of the World,stereobone,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","""Oh,"" Aziraphale says. ""I think Crowley might have moved in with me.""",5867.0,1,700,24777,4875,179299
2,"You, Soft and Only",thehoyden,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","He hadn’t expected a sudden lapful of angel.“Very sorry about this,” Aziraphale said, and kissed him.",9400.0,1,882,17828,4503,156851
3,such surpassing brightness,bibliocratic,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",The revelation that Aziraphale might have been in love with him for thousands of years is surprising. The fact that literal books have been written on the subject comes as even more of a shock.,7733.0,1,722,15521,3314,145655
4,An Invitation You Can't Decline,thehoyden,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“I have standards,” Aziraphale huffed.“Don’t I know it,” Crowley sighed. And then, like he’d done it a hundred times before, he covered Aziraphale’s hand with his.",1963.0,1,510,14644,2340,114218
5,Strange Flesh and All That,FortinbrasFTW,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","Crowley laughs. He can’t help it. And the wine isverygood.“What’s funny?” Aziraphale asks.“Are you joking?” Crowley tilts his head to look at him over his glasses. “No, nothing at all, this is all perfectly normal. Very dull conversation really.”Aziraphale smiles back. “What’s funnier, dear boy? That I’ve considered it or that you haven’t?”",7289.0,1,283,12452,1973,146274
6,a city wall and a trampoline,kafkian,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","In their cottage in the South Downs, when Crowley eventually succeeds in getting Aziraphale to use a laptop, it takes Aziraphale literal hours to get past the default Windows screensavers of picturesque locations because 'oh, look, isn't it lovely, Crowley!'-5 times Crowley knows he’s in love with Aziraphale + 1 time he knows the reverse.",4724.0,1,658,12243,2085,88398
7,Spoonful,Demorra (thebibliosphere),"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“Nanny?”Crowley’s head jerked up as he twisted round awkwardly in his chair to find a familiar face staring at him through the crowd, the time-altered features torn somewhere between consternation and twitching on the verge of a grin. He stared.“Warlock?” Crowley he demanded, reaching for his glasses and only just managing to resist the urge to pull them off, “Warlock?”",1958.0,1,440,11953,1721,74560
8,Love Hath Made Thee a Tame Snake,thehoyden,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","He was the bloody Serpent of Eden, and he wasn’t going to stand for this kind of flagrant trespassing.",3484.0,1,507,11947,2452,101124
9,Show/Tell,walkalittleline,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']",It took Aziraphale approximately five thousand nine hundred and forty-five years—give or take a few months—to fall in love. It didn’t take Crowley nearly as long.,3373.0,1,234,11709,1635,80551
10,"all i need, darling, is a life in your shape",deadgreeks,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","After everything, Aziraphale and Crowley, by unspoken agreement, begin sharing their lives.---Why? Aziraphale wanted to ask him, why millennia of the way things were, and now this?But while Crowley seemed to have little issue upending every unspoken rule they’d ever written for themselves, Aziraphale was not so flexible, and they had spent thousands of years never quite addressing whatever it was this had stemmed from. Words, Aziraphale had always felt, were for bickering about where to eat for lunch, or hashing out ontological debates, or other trivial nonsense; there was no need to trifle with the imprecision of language, with phrasing and the possibility of being misconstrued, when it came to important matters if the other person simply understood, without needing it said. Six thousand years ago, when Aziraphale had met Crowley on the wall of Eden, watching the first two humans set out to begin the rest of history, something deep within him, more central even than his Grace, had thought, oh, it’s you, and that had been enough for him--for both of them, he assumed--for three millennia.However much he wanted to ask, he didn’t know how. The words simply weren’t there.",14243.0,1,710,11331,3366,100498
11,Snakes and Stones (Never Broke My Bones),DeerstalkerDeathFrisbee,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","“How many people don’t believe I exist?” Crowley asks in the doorway.“I’m sure no – ” Aziraphale begins, only to be cut off by Gabriel and a reluctant Newton.“Everyone.”No one wants to say it, but the residents of Dorm A, floor 3, are collectively convinced Aziraphale Fell’s boyfriend does not exist. This is their story.",4554.0,1,331,11277,1654,62698
12,"let me feel your heartbeat (grow faster, faster)",thehoyden,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Aziraphale saw him sometimes in all-staff meetings, sitting toward the front but off to the side, lounging against a wall. Even then, he’d hadstyle—wings tipped in gold and face painted with gold flakes in the pattern of the first constellation he designed. He was amazing, and eye-catching, and it was no exaggeration to say that he did not know Aziraphale even existed.",5043.0,1,379,10346,2138,60242
13,Final Temptation,rfsmiley,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","It doesn't occur to Crowley to tempt Aziraphale until approximately 5,900 years into their relationship.",4425.0,1,306,10324,1449,78363
14,Harry Omens,BanrionCeallach,"['Harry Potter - J. K. Rowling', 'Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",In which Harry Potter walks into a certain bookshop in London weeks before his eleventh birthday.Alternatively: In which Crowley takes one look at small ten-year-old parseltongue Harry and instantly decides that he and his angel have a new godson.18/08/2022I will never approve this work for a collection. Do not ask.,60975.0,23,6040,9353,2980,142138
15,A Nanny? In MY Summoning Circle?,pukner,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']","(it's more likely than you think)Warlock ""Lockie"" Dowling summons a demon.Or, he buys a book off a suspiciously familiar bookseller and is convinced into demon summoning.It goes about as well as you'd expect.",10580.0,2,911,9294,2915,48055
16,bent to the very earth,Ark,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']","Use me, please,Crowley had said, so Aziraphale takes him at his word.",5634.0,1,375,8759,1805,100333
